-1.498000,-7.572000
-1.680000,-7.557000
-1.844000,-5.827000
-1.948000,-5.823000
-2.062000,-4.083000
-2.165000,-4.083000
-2.249000,-2.346000
-2.352000,-2.338000
-2.449000,-0.591000
-2.578000,-0.587000
-2.661000,1.110000
-2.763000,1.120000
-2.935000,-7.550000
-3.032000,-7.553000
-3.097000,-5.816000
-3.197000,-5.819000
-3.298000,-4.069000
-3.402000,-4.069000
-3.492000,-2.327000
-3.595000,-2.323000
-3.686000,-0.557000
-3.781000,-0.557000
-3.871000,1.156000
-3.974000,1.160000
-4.130000,-7.554000
-4.230000,-7.554000
-4.296000,-5.811000
-4.393000,-5.819000
-4.504000,-4.057000
-4.604000,-4.057000
-4.783000,-2.311000
-4.975000,-2.311000
-5.161000,-0.517000
-5.352000,-0.516000
-5.551000,1.203000
-5.749000,1.209000
-6.119000,-7.563000
-6.376000,-5.805000
-6.683000,-4.030000
-6.955000,-2.279000
-7.325000,-0.469000
-7.718000,1.267000
-8.198000,-7.558000
-8.553000,-5.809000
-9.147000,-4.011000
-9.712000,-2.242000
-10.282000,-0.397000
-10.854000,1.356000
-11.967000,-7.573000
-12.910000,-5.809000
-13.894000,-3.970000
-14.836000,-2.173000
-15.805000,-0.254000
-17.000000,1.524000
-18.769000,-3.807000
-20.747000,-3.794000
-22.720000,-3.781000
-24.703000,-3.764000
-26.688000,-3.740000
-28.692000,-3.722000
-31.628000,-3.656000
-34.593000,-3.612000
-37.547000,-3.552000
-41.411000,-3.417000
