v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,4.46952,3.0182,-1.57937,0.296586,-1.74252,8.33391
0.1,-2.70709,4.92695,3.02099,-1.60023,0.354645,-1.78776,8.85917
0.1,-2.70709,-2.51754,3.513,-1.51417,0.578433,-3.54253,7.38795
0.1,-2.70709,-2.01672,3.46302,-1.61666,0.478616,-3.38668,6.89821
0.1,-2.70709,-1.49474,3.46733,-1.602,0.384546,-3.24917,6.58177
0.1,-2.70709,2.97531,3.4786,-1.66422,0.241606,-1.9621,7.52089
0.1,-2.70709,4.02679,3.54505,-1.49243,0.334367,-1.91042,8.4134
0.1,-2.70709,4.47417,3.45991,-1.65782,0.373465,-1.81196,8.76728
0.1,-2.70709,4.97672,3.48098,-1.64119,0.437331,-1.83167,9.43114
0.1,-2.70709,-2.03085,4.01419,-1.48782,0.564719,-3.28112,7.57217
0.1,-2.70709,-1.52249,3.97918,-1.5563,0.477496,-3.07034,7.14478
0.1,-2.70709,-1.0472,4.0096,-1.48452,0.405406,-2.91759,6.91815
0.1,-2.70709,-0.506441,3.98436,-1.58682,0.353643,-2.84448,6.87009
0.1,-2.70709,1.4423,4.02468,-1.49376,0.269996,-2.28887,7.14342
0.1,-2.70709,2.40894,3.99646,-1.56235,0.292018,-2.10299,7.5702
0.1,-2.70709,2.97979,3.97389,-1.65709,0.321547,-2.02695,7.91936
0.1,-2.70709,3.45537,3.9846,-1.61229,0.362978,-1.9481,8.3132
0.1,-2.70709,3.94231,4.0127,-1.54487,0.391957,-1.91629,8.67327
0.1,-2.70709,4.44074,3.99362,-1.62519,0.453671,-1.93659,9.30886
0.1,-2.70709,-1.48391,4.53911,-1.48298,0.569943,-2.9153,7.90173
0.1,-2.70709,-1.05817,4.48997,-1.49089,0.512053,-2.92892,7.6801
0.1,-2.70709,-0.572551,4.47774,-1.61956,0.447581,-2.73734,7.40953
0.1,-2.70709,0.476848,4.45087,-1.64963,0.382742,-2.60636,7.42083
0.1,-2.70709,0.972109,4.48135,-1.59955,0.367463,-2.45069,7.49289
0.1,-2.70709,1.45865,4.4785,-1.61992,0.360716,-2.28605,7.60159
0.1,-2.70709,1.97723,4.47293,-1.66034,0.370264,-2.25379,7.86291
0.1,-2.70709,2.41975,4.45488,-1.58666,0.379284,-2.18091,8.06586
0.1,-2.70709,2.95846,4.49491,-1.58869,0.411913,-2.0581,8.47164
0.1,-2.70709,3.42319,4.49627,-1.59418,0.447109,-2.0775,8.88428
0.1,-2.70709,3.96021,4.47966,-1.64868,0.516641,-2.07812,9.64709
0.1,-2.70709,-0.567348,4.93773,-1.6,0.565491,-2.78194,8.27638
0.1,-2.70709,0.480886,4.96326,-1.64628,0.489752,-2.57914,8.12515
0.1,-2.70709,0.957918,4.97259,-1.5801,0.465965,-2.41455,8.10257
0.1,-2.70709,1.44552,4.96854,-1.61443,0.462866,-2.35472,8.26839
0.1,-2.70709,1.99725,5.01725,-1.5212,0.470902,-2.25406,8.51192
0.1,-2.70709,2.42237,4.98205,-1.62785,0.493082,-2.23983,8.86459
0.1,-2.70709,2.96164,4.99854,-1.56075,0.541385,-2.11841,9.45515
0.1,-2.70709,4.5695,-4.98486,-0.817486,0.141768,-0.379913,9.83008
0.1,-2.70709,5.02862,-4.94467,-0.812041,0.213432,-0.49164,10.3271
0.1,-2.70709,5.00063,-4.42579,-0.794555,0.169084,-0.481396,9.83577
0.1,-2.70709,-0.95939,-2.41431,-0.761588,1.06908,-0.407106,4.07928
0.1,-2.70709,-0.435441,-2.46223,-0.753436,1.16703,-0.732261,3.74583
0.1,-2.70709,-1.46428,-1.95318,-0.835179,0.706966,0.773132,3.29442
0.1,-2.70709,-0.907898,-2.00944,-0.800174,0.750191,0.902028,2.75442
0.1,-2.70709,-0.476654,-1.96362,-0.785965,0.936825,0.655097,2.47316
0.1,-2.70709,-0.97239,-1.46113,-0.807728,0.446461,3.20672,2.1954
0.1,-2.70709,-0.581225,-1.552,-0.783763,0.911764,3.60203,1.98669
0.1,-2.70709,4.99216,1.58996,-0.825927,0.131204,-1.0298,7.77861
0.1,-2.70709,4.44253,1.98714,-0.770553,0.100267,-1.0663,7.40864
0.1,-2.70709,4.93609,2.03274,-0.814459,0.181376,-1.16285,7.96232
0.1,-2.70709,3.96482,2.50684,-0.848653,0.10864,-1.21054,7.2377
0.1,-2.70709,4.52978,2.49244,-0.875748,0.193162,-1.24142,7.81814
0.1,-2.70709,4.98951,2.54142,-0.744744,0.238661,-1.21002,8.19193
0.1,-2.70709,-2.02878,3.04583,-0.808672,0.327626,-3.02848,5.82011
0.1,-2.70709,-1.50644,2.93484,-0.859797,0.228906,-2.81972,5.58823
0.1,-2.70709,3.47029,3.02089,-0.76327,0.126955,-1.32468,7.10158
0.1,-2.70709,4.50239,2.99717,-0.882434,0.235068,-1.34388,7.95152
0.1,-2.70709,4.96051,3.0136,-0.750737,0.29233,-1.2893,8.42798
0.1,-2.70709,-3.02246,3.4553,-0.734229,0.613588,-3.0551,7.16945
