v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,4.55064,-4.44404,-2.42092,0.399231,-1.48335,9.9639
0.1,-2.70709,4.99503,-4.48925,-1.65815,0.388975,-1.13638,10.2672
0.1,-2.70709,4.99447,-3.97093,-1.62081,0.400743,-1.17285,9.86109
0.1,-2.70709,4.49822,-4.91081,-0.762881,0.257648,-0.517216,10.1308
0.1,-2.70709,4.49687,-4.40085,-0.773069,0.25638,-0.518022,9.56581
0.1,-2.70709,4.94102,-2.56431,-0.0101563,0.379498,-0.450542,9.58645
0.1,-2.20709,4.95329,3.02354,-3.08333,0.285176,-2.03803,10.5127
0.1,-2.20709,4.45548,3.50848,-3.05394,0.305303,-2.14937,10.3703
0.1,-2.20709,4.94884,3.51779,-3.062,0.326445,-2.07616,10.8713
0.1,-2.20709,3.46641,4.03104,-3.09471,0.342052,-2.43537,10.0034
0.1,-2.20709,4.51787,4.49164,-3.1404,0.403664,-2.26354,11.6036
0.1,-2.20709,4.94646,4.49879,-3.07146,0.432917,-2.0799,12.0504
0.1,-2.20709,5.03107,2.96282,-2.29955,0.252562,-1.78375,9.92555
0.1,-2.20709,4.54508,3.5415,-2.37194,0.28066,-1.86234,9.8062
0.1,-2.20709,4.93761,3.55909,-2.32988,0.29364,-1.82325,10.1959
0.1,-2.20709,2.02277,4.03013,-2.35336,0.462671,-3.55475,8.60035
0.1,-2.20709,2.42151,3.94402,-2.33493,0.418861,-2.95803,8.84242
0.1,-2.20709,4.02995,3.98974,-2.43867,0.31766,-2.01548,9.78277
0.1,-2.20709,4.43464,4.00274,-2.42541,0.324334,-1.95842,10.1916
0.1,-2.20709,4.96357,4.06304,-2.28805,0.337311,-1.87137,10.6219
0.1,-2.20709,2.40937,4.48208,-2.36155,0.442516,-2.78699,9.40619
0.1,-2.20709,2.90979,4.47217,-2.37224,0.396705,-2.37244,9.52708
0.1,-2.20709,4.42252,4.51967,-2.40316,0.367376,-1.94117,10.6375
0.1,-2.20709,4.98084,4.54613,-2.28205,0.38686,-1.9112,11.2181
0.1,-2.20709,2.40713,4.96625,-2.3428,0.457015,-2.52866,9.8904
0.1,-2.20709,2.97434,5.00378,-2.35527,0.423509,-2.31462,10.2073
0.1,-2.20709,3.45027,4.9855,-2.34405,0.402328,-2.05433,10.4519
0.1,-2.20709,4.04374,4.93066,-2.30381,0.402036,-2.0436,10.8143
0.1,-2.20709,4.49603,5.01793,-2.3332,0.421385,-1.98192,11.4512
0.1,-2.20709,4.92324,4.98216,-2.30531,0.460508,-1.94033,12.193
0.1,-2.20709,4.93729,3.03691,-1.58785,0.201396,-1.45085,9.22863
0.1,-2.20709,3.93824,3.53612,-1.54091,0.235965,-1.65201,8.69458
0.1,-2.20709,4.42364,3.5263,-1.57612,0.234566,-1.56952,9.0844
0.1,-2.20709,1.99587,3.90464,-1.56768,0.497726,-3.2539,7.9215
0.1,-2.20709,2.49891,3.95476,-1.63454,0.389626,-2.54299,8.09307
0.1,-2.20709,3.4028,3.98188,-1.58035,0.303586,-1.84542,8.67202
