v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,1.44531,-4.97751,0.0639104,1.02344,-1.22204,15.2336
0.1,-2.70709,1.9715,-4.96893,0.102005,1.12247,-1.54803,14.9578
0.1,-2.70709,0.573563,-4.48546,0.139615,0.904045,-0.880407,16.0752
0.1,-2.70709,2.07923,-4.47638,0.15,1.21607,-1.81043,15.418
0.1,-2.70709,2.54101,-4.55563,0.1,1.28217,-2.1166,15.1774
0.1,-2.70709,0.544806,-4.0164,0.0848714,0.911685,-0.906208,16.5455
0.1,-2.70709,1.0707,-4.06593,0.100581,1.02867,-1.23351,16.3117
0.1,-2.70709,2.51973,-4.05858,0.126974,1.30828,-2.24768,15.4912
0.1,-2.70709,3.4956,-4.02104,0.161385,1.5293,-3.2436,14.923
0.1,-2.70709,0.560645,-3.51999,0.152842,0.946114,-0.984156,16.8663
0.1,-2.70709,1.05167,-3.56077,0.0885457,1.06022,-1.33975,16.7419
0.1,-2.70709,1.58571,-3.44919,0.095847,1.16177,-1.70989,16.639
0.1,-2.70709,2.05972,-3.44655,0.0883834,1.28923,-2.194,16.3975
0.1,-2.70709,3.56749,-3.43215,0.103604,1.60165,-3.63148,15.3212
0.1,-2.70709,1.46863,-3.04063,0.123809,1.21757,-1.87815,16.9063
0.1,-2.70709,1.91778,-1.55446,0.1,1.58263,-3.67278,17.5778
0.1,-2.70709,2.47122,-1.04638,0.0726212,1.88982,-5.66646,17.3558
0.1,-2.70709,2.01224,0.40535,0.1,2.51985,-12.2388,18.1205
0.1,-2.70709,2.94009,0.528992,0.143207,2.73231,-13.5586,16.9537
0.1,-2.70709,2.51872,1.02519,0.05,3.02646,-18.5368,17.5129
0.1,-2.70709,2.96714,1.54936,0.134051,3.3106,-24.6092,16.9063
0.1,-2.70709,3.08083,2.46241,0.1,4.43777,-45.7461,16.3869
0.1,-2.70709,1.04791,-4.95671,0.59,1.06555,-0.843585,14.4179
0.1,-2.70709,0.532988,-4.5263,0.673204,1.00582,-0.712405,15.0525
0.1,-2.70709,0.99583,-4.45241,0.608233,1.08473,-0.948274,14.9232
0.1,-2.70709,1.46901,-4.565,0.673631,1.18749,-1.12622,14.3985
