45.000,-7.777
43.600,-7.602
42.200,-7.445
40.800,-7.302
39.400,-7.173
38.000,-7.054
36.600,-6.945
35.200,-6.845
33.800,-6.753
32.400,-6.668
31.000,-6.590
29.600,-6.517
28.200,-6.450
26.800,-6.389
25.400,-6.332
24.000,-6.279
22.600,4.509
21.200,4.478
19.800,4.450
18.400,4.424
17.000,4.400
15.600,4.379
14.200,4.360
12.800,4.343
11.400,4.328
10.000,4.315
8.600,4.304
7.200,4.295
5.800,4.287
4.400,4.282
3.000,4.278
1.600,4.277
-1.600,-5.898
-3.000,-5.901
-4.400,-5.906
-5.800,-5.914
-7.200,-5.924
-8.600,-5.937
-10.000,-5.953
-11.400,-5.971
-12.800,-5.993
-14.200,-6.017
-15.600,-6.044
-17.000,-6.075
-18.400,-6.109
-19.800,-6.146
-21.200,-6.186
-22.600,-6.231
-24.000,4.543
-25.400,4.580
-26.800,4.621
-28.200,4.664
-29.600,4.712
-31.000,4.763
-32.400,4.819
-33.800,4.879
-35.200,4.945
-36.600,5.016
-38.000,5.094
-39.400,5.180
-40.800,5.273
-42.200,5.376
-43.600,5.491
-45.000,5.618
